"","geometry","elevation","elev_units"
"528",c(-110.9008333, 31.22777778),1430,"meters"
"529",c(-111.0541667, 31.17475),1356,"meters"
"530",c(-110.64, 31.24166667),1565,"meters"
"531",c(-110.21944, 30.84222),1535,"meters"
"532",c(-110.00607, 30.99635),1786,"meters"
"533",c(-110.28889, 30.77222),1289,"meters"
"534",c(-110.23194, 30.88417),1511,"meters"
"535",c(-110.03583, 31.03806),1572,"meters"
"536",c(-109.52583, 28.89242),842,"meters"
"537",c(-109.730556, 28.566667),841,"meters"
"538",c(-110.783333, 30.691667),1116,"meters"
"539",c(-110.03222, 31.03444),1572,"meters"
"540",c(-108.6164214, 31.10906667),1582,"meters"
"541",c(-106.6888889, 28.77138889),2296,"meters"
"542",c(-110.966667, 31.2),1285,"meters"
"543",c(-109.65682, 30.59636),1399,"meters"
"544",c(-109.2, 29.933333),1001,"meters"
"545",c(-108.333333, 29.183333),1660,"meters"
"546",c(-109.6, 30.366667),1502,"meters"
"547",c(-110.37583, 31.01194),1872,"meters"
"548",c(-110.39, 31.01278),1872,"meters"
"549",c(-110.41222, 31.0125),1625,"meters"
"550",c(-110.76556, 30.61611),1406,"meters"
"551",c(-110.75667, 30.63444),1406,"meters"
"552",c(-110.75611, 30.62611),1406,"meters"
"553",c(-110.78889, 30.59417),1089,"meters"
"554",c(-109.62806, 30.36472),1408,"meters"
"555",c(-111.09611, 31.19694),1296,"meters"
"556",c(-110.84138, 31.06667),1380,"meters"
