coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
4290248,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11,,2017-04-17T12:08:14Z,egbot,
4290023,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11,,2017-04-17T12:08:14Z,egbot,
934177,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2017-04-17T10:16:44Z,egbot,
934179,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11,,2017-04-17T11:57:35Z,egbot,
1005040,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907221,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3241321,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
934073,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
934074,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
8055780,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T12:21:04Z,egbot,
1907510,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907545,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
8989594,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T12:08:13Z,egbot,
8989596,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T12:08:13Z,egbot,
8989754,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T12:08:13Z,egbot,
934091,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
2067070,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-02-07T13:46:33Z,egbot,
2067073,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-13T21:07:10Z,egbot,
2067077,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-13T21:07:10Z,egbot,
2067080,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-13T21:07:10Z,egbot,
3090859,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-13T21:20:10Z,egbot,
1907591,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3244126,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
934123,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
934124,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
934125,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
8989535,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T12:08:13Z,egbot,
1907521,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907535,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907583,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907589,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
